online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost
Yes,No,2.9000000000000004,157.0,Jayanagar,Cafe,"Cafe, American, Pizza",450.0
Yes,No,3.9,484.5,Basavanagudi,Quick Bites,"South Indian, Fast Food",300.0
Yes,No,3.7,180.0,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500.0
Yes,No,4.2,444.0,Basavanagudi,Quick Bites,South Indian,100.0
Yes,No,3.9,134.0,Jayanagar,Quick Bites,"Street Food, North Indian, South Indian",400.0
Yes,No,3.8,484.5,Jayanagar,Casual Dining,"North Indian, South Indian, Biryani, Beverages",900.0
Yes,No,4.2,60.0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200.0
Yes,No,3.9,144.0,Jayanagar,Casual Dining,"North Indian, Chinese, Rolls",550.0
Yes,No,4.1,484.5,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800.0
Yes,No,3.6,16.0,Basavanagudi,Quick Bites,South Indian,200.0
Yes,No,3.6,84.0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",250.0
Yes,No,3.6,95.0,Banashankari,Quick Bites,"South Indian, Street Food",150.0
Yes,Yes,4.0,349.0,Banashankari,Casual Dining,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",1175.0
Yes,No,3.7,248.0,Kumaraswamy Layout,Quick Bites,"North Indian, Fast Food",400.0
